epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.282296,0.617435,0.627411,0.820771,1.000000e-03
2,0.631211,0.807329,0.439073,0.865997,1.000000e-03
3,0.499318,0.852304,0.371255,0.872697,1.000000e-03
4,0.438015,0.862484,0.346611,0.877722,1.000000e-03
5,0.391352,0.876735,0.309204,0.911223,1.000000e-03
6,0.367100,0.885619,0.281775,0.907873,1.000000e-03
7,0.335048,0.895984,0.268888,0.897822,1.000000e-03
8,0.319141,0.895799,0.260442,0.916248,1.000000e-03
9,0.307357,0.901906,0.244058,0.909548,1.000000e-03
10,0.282119,0.913567,0.243382,0.924623,1.000000e-03
11,0.277662,0.909125,0.235800,0.922948,1.000000e-03
12,0.262749,0.918009,0.224471,0.917923,1.000000e-03
